Service Name,Street,Suburb,Postcode,State,LGA
Tangambalanga Child Care Centre,6 Huon Rd,TANGAMBALANGA,3691,VIC,INDIGO SHIRE
Taraleigh Steiner Pre-School,90 Bignell Road,BENTLEIGH EAST,3165,VIC,GLEN EIRA CITY
Taralye Kindergarten,137 Blackburn Road,BLACKBURN,3130,VIC,WHITEHORSE CITY
Tarcoola Preschool,12-16 Tarcoola Avenue,COOLAROO WEST,3048,VIC,HUME CITY
Tarneit Central Kindergarten,21 - 23 Brinbrook Street,TARNEIT,3029,VIC,WYNDHAM CITY
Tarneit Early Learning Centre,19-25 Turva Avenue,TARNEIT,3029,VIC,WYNDHAM CITY
Tarneit Kindergarten,150 Sunset Views Boulevard,TARNEIT,3029,VIC,WYNDHAM CITY
Tarralla Kindergarten,38 Gracedale Avenue,RINGWOOD EAST,3135,VIC,MAROONDAH CITY
Tatura Children's Centre,5-9 Kerferd Street,TATURA,3616,VIC,GREATER SHEPPARTON CITY
Taylor Drive Preschool,91 Taylor Drive,TULLAMARINE,3043,VIC,HUME CITY
Taylors Hill Kindergarten,58-60 Jacaranda Drive,TAYLORS HILL,3037,VIC,MELTON SHIRE
Taylors Lakes Kindergarten, Cnr Cocoparra Cres & Grampians Crt,TAYLORS LAKES,3038,VIC,BRIMBANK CITY
Taylor's Lane Preschool Centre,130 Taylors Lane,ROWVILLE,3178,VIC,KNOX CITY
Tecoma Kindergarten,1534 Burwood Highway,TECOMA,3160,VIC,YARRA RANGES SHIRE
Teesdale Preschool, Cnr Mercer St & Bridge St,TEESDALE,3328,VIC,GOLDEN PLAINS SHIRE
Templestowe Heights Preschool,64 Fyfe Drive,TEMPLESTOWE LOWER,3107,VIC,MANNINGHAM CITY
Templestowe Preschool,3 Swilk Street,TEMPLESTOWE,3106,VIC,MANNINGHAM CITY
Templestowe Valley Preschool,3 Birchwood Avenue,TEMPLESTOWE LOWER,3107,VIC,MANNINGHAM CITY
Templestowe World of Learning,247-249 High Street,TEMPLESTOWE LOWER,3107,VIC,MANNINGHAM CITY
Templeton Orchards Preschool,51 Templeton Street,WANTIRNA,3152,VIC,KNOX CITY
Terrara Preschool,15 Walbrook Drive,VERMONT SOUTH,3133,VIC,WHITEHORSE CITY
The Avenue Children's Centre and Kindergarten,39 The Avenue,BALACLAVA,3183,VIC,PORT PHILLIP CITY
The Basin Preschool,385 Forest Road,THE BASIN,3154,VIC,KNOX CITY
The Children's Centre at The Body Shop,1 Cnr Wellington and  Jacksons Road,MULGRAVE,3170,VIC,MONASH CITY
The Cottage Childcare Centre,208 Monbulk Road,MONBULK,3793,VIC,YARRA RANGES SHIRE
The Crossway Pre School, Cnr The Crossway & Upland Rd,STRATHMORE,3041,VIC,MOONEE VALLEY CITY
The Cubby House at Colac,91-97 Pound Road,COLAC,3250,VIC,COLAC-OTWAY SHIRE
The Empire Early Learning Centre,8 Empire Street,FOOTSCRAY,3011,VIC,MARIBYRNONG CITY
The Farmhouse,3494 Maroondah Highway,MANSFIELD,3722,VIC,MANSFIELD SHIRE
The Fields Preschool Centre, Pitfield Crescent,ROWVILLE,3178,VIC,KNOX CITY
The Geelong College Early Learning Centre and Outside School Hours Care, Minerva Road,NEWTOWN,3220,VIC,GREATER GEELONG CITY
The Grange Kindergarten,260-280 Hogans Road,HOPPERS CROSSING,3029,VIC,WYNDHAM CITY
The Grove Children's Centre,38-40 The Grove,COBURG,3058,VIC,MORELAND CITY
The Hamilton and Alexandra College Early Learning Centre, 241 Kent Rd,HAMILTON,3300,VIC,SOUTHERN GRAMPIANS SHIRE
The Jan Juc Preschool, Wattle Court,JAN JUC,3228,VIC,SURF COAST SHIRE
The Joey Club Melbourne,450 Melrose Drive,MELBOURNE AIRPORT,3046,VIC,HUME CITY
The Knox School Pre-Prep Centre,220 Burwood Highway,WANTIRNA SOUTH,3152,VIC,KNOX CITY
The Learning Sanctuary Park Orchards,239 Warrandyte Road,PARK ORCHARDS,3114,VIC,MANNINGHAM CITY
The Manor Kindergarten,186 Werribee Street North,WERRIBEE,3030,VIC,WYNDHAM CITY
The Merrell Kindergarten,92 Maud Street,BALWYN NORTH,3104,VIC,BOROONDARA CITY
The Minifie Park Child Care Centre,290 Belmore Road,BALWYN,3103,VIC,BOROONDARA CITY
The Patch Early Learning Centre, Kallista-Emerald Road,THE PATCH,3792,VIC,YARRA RANGES SHIRE
The Peninsula School Kindergarten,72 Wooralla Drive,MOUNT ELIZA,3930,VIC,MORNINGTON PENINSULA SHIRE
The Playhouse,3-5 Eltham Street,DALLAS,3047,VIC,HUME CITY
The Range Children's Centre,87 Kororoit Creek Road,WILLIAMSTOWN,3016,VIC,HOBSONS BAY CITY
The Stables Kindergarten,284 Childs Road,MILL PARK,3082,VIC,WHITTLESEA CITY
The University of Melbourne - Melbourne Graduate School of Education Early Learning Centre,40 Clarke Street,ABBOTSFORD,3067,VIC,YARRA CITY
Thinking Kids Children's Centre,77 Poplar Road,PARKVILLE,3052,VIC,MELBOURNE CITY
Thomastown Child Care Centre,129 Edgars Road,THOMASTOWN,3074,VIC,WHITTLESEA CITY
Thomastown Learning Centre,113-115 Dalton Road,THOMASTOWN,3074,VIC,WHITTLESEA CITY
Thomastown West Kindergarten,127 Edgars Road,THOMASTOWN,3074,VIC,WHITTLESEA CITY
Thomson Kindergarten, Godfrey Street,EAST GEELONG,3219,VIC,GREATER GEELONG CITY
Thornbury Kids,80-82  Wilmoth Street,THORNBURY,3071,VIC,DAREBIN CITY
Thornbury Kindergarten,8C Newcastle Street,THORNBURY,3071,VIC,DAREBIN CITY
Thornbury Learning Centre,52 Speight Street,THORNBURY,3071,VIC,DAREBIN CITY
Thorpdale Kindergarten,14 Johnstone Street,THORPDALE,3835,VIC,BAW BAW SHIRE
Through Road Child Care Centre,171 Through Road,CAMBERWELL,3124,VIC,BOROONDARA CITY
Tiggers,895-897 Toorak Road,CAMBERWELL,3124,VIC,BOROONDARA CITY
Timbarra Kindergarten,20-26 Parkhill Drive,BERWICK,3806,VIC,CASEY CITY
Timboon & District Kindergarten, 1 Wark Street,TIMBOON,3268,VIC,CORANGAMITE SHIRE
Time 4 Tots Early Learning Centre,2 - 6 Princes Highway,PAKENHAM,3810,VIC,CARDINIA SHIRE
Time Out Child Care - Carnegie,1 TOOLAMBOOL ROAD,CARNEGIE,3163,VIC,GLEN EIRA CITY
Time-Out Child Care - Hughesdale,105A Kangaroo Road,HUGHESDALE,3166,VIC,MONASH CITY
Time-Out Child Care - Northcote,38 Arthurton Road,NORTHCOTE,3070,VIC,DAREBIN CITY
Tinkabell Early Learning Centre,456 Springfield Road,MITCHAM,3132,VIC,WHITEHORSE CITY
Tinning Street Child Care Centre,77 Tinning Street,BRUNSWICK,3056,VIC,MORELAND CITY
Tintern Schools Early Learning Centre & OSHC,90 Alexandra Road,RINGWOOD EAST,3135,VIC,MAROONDAH CITY
Tiny Treasures Early Learning Centre,66 - 68 Katrina Drive,BURNSIDE,3023,VIC,MELTON SHIRE
Tommaso Fiaschi Child Care Centre,59-65 Station Street,CARLTON,3053,VIC,MELBOURNE CITY
Tongala Kindergarten,8 Nihill Street,TONGALA,3621,VIC,CAMPASPE SHIRE
Toolamba Preschool, Wren Street,TOOLAMBA,3614,VIC,GREATER SHEPPARTON CITY
Toora Kindergarten,25 Grey Street,TOORA,3962,VIC,SOUTH GIPPSLAND SHIRE
Tooradin Kindergarten,102 South Gippsland Highway,TOORADIN,3980,VIC,CASEY CITY
Toorak College Preschool, Williams Road,MOUNT ELIZA,3930,VIC,MORNINGTON PENINSULA SHIRE
Tootgarook Preschool,24 Barry Street,TOOTGAROOK,3941,VIC,MORNINGTON PENINSULA SHIRE
Top Kids Childcare & Pre-School,30 Bond Street,RINGWOOD,3134,VIC,MAROONDAH CITY
Top Kids Early Learning Centre,172 Boronia Road,BORONIA,3155,VIC,KNOX CITY
Torquay Childrens Hub Kindergarten, 27 Grossmans Road,TORQUAY,3228,VIC,SURF COAST SHIRE
Torquay Early Learning Centre,25 Grossmans Road,TORQUAY,3228,VIC,SURF COAST SHIRE
Total Care for Kids,271 Thompsons Road,TEMPLESTOWE LOWER,3107,VIC,MANNINGHAM CITY
Town & Country Children's Centre,199 South Valley Road,HIGHTON,3216,VIC,GREATER GEELONG CITY
Trafalgar Kindergarten,30 Contingent Street,TRAFALGAR,3824,VIC,BAW BAW SHIRE
Traralgon Early Learning Centre,4-10 Mapleson Drive,TRARALGON,3844,VIC,LATROBE CITY
Traralgon South Kindergarten,7 Keith Morgan Drive,TRARALGON SOUTH,3844,VIC,LATROBE CITY
Tree House Child Care,241 Kooyong Road,ELSTERNWICK,3185,VIC,GLEN EIRA CITY
Tree House Child Care,43-45 Brighton Rd,ST KILDA,3182,VIC,PORT PHILLIP CITY
Tree House Child Care - Preston,418 Murray Road,PRESTON,3072,VIC,DAREBIN CITY
Tree House Early Learning - Ascot Vale,41 Maribyrnong Road,ASCOT VALE,3032,VIC,MOONEE VALLEY CITY
Trentham Kindergarten,6 Bridge Street,TRENTHAM,3458,VIC,HEPBURN SHIRE
Try Coburg Preschool,98 Bell Street,COBURG,3058,VIC,MORELAND CITY
Try Melton West Preschool,2 - 4 West Melton Drive,WEST MELTON,3337,VIC,MELTON SHIRE
Try Mt. Carberry Preschool,35 Exford Road,MELTON SOUTH,3338,VIC,MELTON SHIRE
TRY Peninsula Montessori Centre, 9-11 Frank Street,FRANKSTON,3199,VIC,FRANKSTON CITY
Try Youth South Yarra,259 Malvern Road,SOUTH YARRA,3141,VIC,STONNINGTON CITY
Tulip Street Early Learning Centre,99A Tulip Street,CHELTENHAM,3192,VIC,BAYSIDE CITY
Tungamah Kindergarten & Early Childhood Service, Middleton Street,TUNGAMAH,3728,VIC,MOIRA SHIRE
Tunstall Square Kindergarten, Maggs Street,DONCASTER EAST,3109,VIC,MANNINGHAM CITY
Turner Street Kindergarten,38 Turner Street,PASCOE VALE SOUTH,3044,VIC,MORELAND CITY
Twin Hills Preschool,39 Mayfair Avenue,TEMPLESTOWE LOWER,3107,VIC,MANNINGHAM CITY
Twin Oaks Child Care,93 Sheedy Road,GISBORNE,3437,VIC,MACEDON RANGES SHIRE
Tyabb Preschool,1475 Frankston-Flinders Road,TYABB,3913,VIC,MORNINGTON PENINSULA SHIRE
Tyers Kindergarten,74 Main Road,TYERS,3844,VIC,LATROBE CITY
UB Children's Centre at SMB, 105 Lydiard Street South,BALLARAT,3350,VIC,BALLARAT CITY
Una's Child Care Centre, 33 Cooper St (Entrance Dalton Rd),EPPING,3076,VIC,WHITTLESEA CITY
Undera Kindergarten, Anderson Street,UNDERA,3629,VIC,GREATER SHEPPARTON CITY
University Early Learning Centre,299 Baillie Street,HORSHAM,3400,VIC,HORSHAM RURAL CITY
Unwin Street Preschool,6 Unwin Street,KYABRAM,3620,VIC,CAMPASPE SHIRE
Upper Beaconsfield Kindergarten,36 Stoney Creek Road,BEACONSFIELD UPPER,3808,VIC,CARDINIA SHIRE
Upper Ferntree Gully Kindergarten,1 Rollings Road,UPPER FERNTREE GULLY,3156,VIC,KNOX CITY
Upper Yarra Community House,41 Little Yarra Road,YARRA JUNCTION,3797,VIC,YARRA RANGES SHIRE
Upwey Kindergarten,1443 Burwood Highway,UPWEY,3158,VIC,YARRA RANGES SHIRE
Upwey South Preschool,125 Morris Road,UPWEY SOUTH,3158,VIC,YARRA RANGES SHIRE
Valley Brook Kindergarten,2 Brook Court,HAMPTON PARK,3976,VIC,CASEY CITY
Vasey Park Preschool Inc,15 Vasey Avenue,LALOR,3075,VIC,WHITTLESEA CITY
Vermont Primary School Kindergarten,10 Nurlendi Road,VERMONT,3133,VIC,WHITEHORSE CITY
Vermont South Children's Services Centre, Cnr Karobran Dr & Livingstone Rd,VERMONT SOUTH,3133,VIC,WHITEHORSE CITY
Victoria Street Early Learning Centre,54-56 Victoria Street,PRESTON,3072,VIC,DAREBIN CITY
Victoria University Children's Centre - Footscray Nicholson, Albert Street,FOOTSCRAY,3011,VIC,MARIBYRNONG CITY
Victoria University Children's Centre - Footscray Park,8 Geelong Road,FOOTSCRAY,3011,VIC,MARIBYRNONG CITY
Victoria University Children's Centre - Newport,80 Champion Road,NEWPORT,3015,VIC,HOBSONS BAY CITY
Victoria University Children's Centre - Werribee Campus, Hoppers Lane,WERRIBEE,3030,VIC,WYNDHAM CITY
Viewbank Early Childhood Centre,30-32 Bannockburn Road,VIEWBANK,3084,VIC,BANYULE CITY
Viewbank Preschool,84 Duff Parade,VIEWBANK,3084,VIC,BANYULE CITY
Violet Town and District Early Childhood Centre, Hyacinth Street,VIOLET TOWN,3669,VIC,STRATHBOGIE SHIRE
Virginia Park Child Care Centre,232A East Boundary Road,BENTLEIGH EAST,3165,VIC,GLEN EIRA CITY
Vista Valley Kindergarten,3 Vista Street,BULLEEN,3105,VIC,MANNINGHAM CITY
Vista Way Kindergarten, Vista Way,WERRIBEE,3030,VIC,WYNDHAM CITY
Wahroonga Preschool,66 Wahroonga Crescent,GREENSBOROUGH,3088,VIC,BANYULE CITY
Walker Street Community Kindergarten, 89 Walker Street,CLIFTON HILL,3068,VIC,YARRA CITY
Walkers Road Preschool,47 Walkers Road,MOUNT ELIZA,3930,VIC,MORNINGTON PENINSULA SHIRE
Wallaby Childcare Bundoora,14 Scholar Drive,BUNDOORA,3083,VIC,WHITTLESEA CITY
Wallaby Childcare Early Learning Centre,9 Bulimba Drive,DOREEN,3754,VIC,WHITTLESEA CITY
Wallaby Childcare Early Learning Centre Creekside,1 The Crossing,CAROLINE SPRINGS,3023,VIC,MELTON SHIRE
Wallaby Childcare Epping,2 SHIMMER STREET,EPPING,3076,VIC,WHITTLESEA CITY
Wallaby Early Learning Centre Greensborough, 45 Civic Drive,GREENSBOROUGH,3088,VIC,NILLUMBIK SHIRE
Wallan Kindergarten, Bentinck Street,WALLAN,3756,VIC,MITCHELL SHIRE
Wallaroo Community Centre, 6 Wallaroo Place,HASTINGS,3915,VIC,MORNINGTON PENINSULA SHIRE
Wandin Preschool, Union Road,WANDIN NORTH,3139,VIC,YARRA RANGES SHIRE
Wandong Kindergarten, Dry Creek Crescent,WANDONG,3758,VIC,MITCHELL SHIRE
Wangaratta Child Care Centre, Cnr Tone Road & Handley Street,WANGARATTA,3677,VIC,WANGARATTA RURAL CITY
Wangaratta West Kindergarten, Cnr Victory St & Orkney St,WANGARATTA,3677,VIC,WANGARATTA RURAL CITY
Wantirna Kinder Haven,17 Jenola Parade,WANTIRNA SOUTH,3152,VIC,KNOX CITY
Warburton Preschool, Riverside Drive,WARBURTON,3799,VIC,YARRA RANGES SHIRE
Ward Avenue Kindergarten,4 Ward Avenue,OAKLEIGH SOUTH,3167,VIC,MONASH CITY
Warekila Preschool, Cnr Kett St & Busana Way,NUNAWADING,3131,VIC,WHITEHORSE CITY
Warracknabeal Memorial Kindergarten,11 Werrigar Street,WARRACKNABEAL,3393,VIC,YARRIAMBIACK SHIRE
Warragul Community Kindergarten,1 Mouritz Street,WARRAGUL,3820,VIC,BAW BAW SHIRE
Warrandyte & District Preschool,10 Taroona Avenue,WARRANDYTE,3113,VIC,MANNINGHAM CITY
Warrandyte Child Care & Preschool Centre Co-op Ltd,2 Masonic Avenue,WARRANDYTE,3113,VIC,MANNINGHAM CITY
Warrandyte Road Early Learning Centre,100 Deep Creek Drive,DONCASTER EAST,3109,VIC,MANNINGHAM CITY
Warrawee Park Preschool,10 The Rameo,BUNDOORA,3083,VIC,BANYULE CITY
Warrnambool East Kindergarten,20A Lava Street,WARRNAMBOOL,3280,VIC,WARRNAMBOOL CITY
Washington Drive Preschool,3 Washington Drive,OAKLEIGH SOUTH,3167,VIC,KINGSTON CITY
Waterlily Early Learning Centre,191 Lyrebird Drive,CARRUM DOWNS,3201,VIC,FRANKSTON CITY
Watsonia North Preschool,68 Macorna Street,WATSONIA,3087,VIC,BANYULE CITY
Watsonia Preschool,19 Crellin Crescent,WATSONIA,3087,VIC,BANYULE CITY
Wattle Hill Kindergarten,19 Livingstone Close,BURWOOD,3125,VIC,WHITEHORSE CITY
Wattle Park Children's Services Centre,25 Livingstone Close,BURWOOD,3125,VIC,WHITEHORSE CITY
Wattletree Early Childhood Centre,256 Wattletree Road,MALVERN,3144,VIC,STONNINGTON CITY
Wattletree House,171 Wattletree Road,MALVERN,3144,VIC,STONNINGTON CITY
Wattletree Preschool,26 Wattletree Road,ELTHAM NORTH,3095,VIC,NILLUMBIK SHIRE
Wattleview Kindergarten, Fuchsia Street,FERNTREE GULLY,3156,VIC,KNOX CITY
Watts Street Children's Centre,10-12 Watts Street,BOX HILL,3128,VIC,WHITEHORSE CITY
Waubra Children's Service, Sunraysia Highway,WAUBRA,3352,VIC,PYRENEES SHIRE
Waurnvale Drive Early Learning Centre,48 Waurnvale Drive,BELMONT,3216,VIC,GREATER GEELONG CITY
Waverley Christian College,1248 High Street Road,WANTIRNA SOUTH,3152,VIC,KNOX CITY
Waverley Foothills Preschool, Gladeswood Drive,MULGRAVE,3170,VIC,MONASH CITY
Waverley Kidz Children's Centre, 604 Waverley Road,GLEN WAVERLEY,3150,VIC,MONASH CITY
Waverley Meadows Preschool,6 Farnham Avenue,WHEELERS HILL,3150,VIC,MONASH CITY
Waverley Montessori Pre-School,2 Einstein Avenue,MULGRAVE,3170,VIC,MONASH CITY
Wayburne Kindergarten,579 Waverley Road,GLEN WAVERLEY,3150,VIC,MONASH CITY
Wedderburn Preschool, 77 Ridge Street,WEDDERBURN,3518,VIC,LODDON SHIRE
Wellington Kindergarten,53  Shaftsbury Drive,MULGRAVE,3170,VIC,MONASH CITY
Wellington Street Kindergarten, Cnr Wellington St & King St,WALLAN,3756,VIC,MITCHELL SHIRE
Welshpool Kindergarten, 15 Main Street,WELSHPOOL,3966,VIC,SOUTH GIPPSLAND SHIRE
Welwyn Kindergarten,44 Welwyn Parade,DEER PARK,3023,VIC,BRIMBANK CITY
Wendouree Children's Services, Gillies Street,WENDOUREE,3355,VIC,BALLARAT CITY
Werribee West Family Centre (Ldc),37 Ballan Road,WERRIBEE,3030,VIC,WYNDHAM CITY
Wesley College Early Childhood Learning Centre,620 High Street Road,GLEN WAVERLEY,3150,VIC,MONASH CITY
Wesley College Prahran Early Learning Centre,625 St Kilda Road,ST KILDA,3182,VIC,PORT PHILLIP CITY
Wesley Pre Prep,5 Gladstone Parade,ELSTERNWICK,3185,VIC,GLEN EIRA CITY
West Gully Preschool,50 Dobson Street,FERNTREE GULLY,3156,VIC,KNOX CITY
West Hawthorn Early Childhood Centre,63 Church Street,HAWTHORN,3122,VIC,BOROONDARA CITY
West Hawthorn Preschool,39 Brook Street,HAWTHORN,3122,VIC,BOROONDARA CITY
Westall Kindergarten,43-45 Westall Road,WESTALL,3169,VIC,KINGSTON CITY
Westerngate Kindergarten,5 Aycliffe Drive,DEER PARK,3023,VIC,BRIMBANK CITY
Westernport Child Care Centre,1 Station Street,LANG LANG,3984,VIC,CARDINIA SHIRE
Westernport Child Care Centre,249 Marine Parade,HASTINGS,3915,VIC,MORNINGTON PENINSULA SHIRE
Westernport Child Care Centre and Kindergarten Cranbourne,142-144 Camms Road,CRANBOURNE,3977,VIC,CASEY CITY
Westernport Child Care Centre and Kindergarten Koo Wee Rup,344 Rossiter Road,KOO WEE RUP,3981,VIC,CARDINIA SHIRE
Westgarth Kindergarten, Clarke Street,NORTHCOTE,3070,VIC,DAREBIN CITY
Westmere Children's Services Centre,490-492 Barry Road,COOLAROO,3048,VIC,HUME CITY
Westmere Preschool,38 Westmere Crescent,COOLAROO,3048,VIC,HUME CITY
Wheelers Hill Child Care Centre,303-307 Jells Road,WHEELERS HILL,3150,VIC,MONASH CITY
White Road Kindergarten Wonthaggi,136 White Road,WONTHAGGI,3995,VIC,BASS COAST SHIRE
Whittlesea Child Care Centre,57-61 Laurel Street,WHITTLESEA,3757,VIC,WHITTLESEA CITY
Whitworth Ave Minaret Preschool," 75 A, Whitworth Ave",SPRINGVALE,3171,VIC,GREATER DANDENONG CITY
Whorouly & District Kindergarten,10 Church Street,WHOROULY,3735,VIC,WANGARATTA RURAL CITY
Will Will Rook Preschool (KODE Glenroy), 208 Hilton Street,GLENROY,3046,VIC,MORELAND CITY
Willaura & District Kindergarten, 91 Main Street,WILLAURA,3379,VIC,ARARAT RURAL CITY
William Hovell Preschool,28 Hendy Street,CORIO,3214,VIC,GREATER GEELONG CITY
William Parker Memorial Kindergarten,33 Griffen Street,HAMLYN HEIGHTS,3215,VIC,GREATER GEELONG CITY
William Road Preschool,20 William Road,CARRUM DOWNS,3201,VIC,FRANKSTON CITY
Williams Child Care Centre, 17 Campbell Parade RAAF Williams Laverton,LAVERTON,3028,VIC,HOBSONS BAY CITY
Williams House Kindergarten, Broughton Drive,BELMONT,3216,VIC,GREATER GEELONG CITY
Williamstown Community and Education Centre Occasional Care,14 Thompson Street,WILLIAMSTOWN,3016,VIC,HOBSONS BAY CITY
Willis Street Kindergarten,10 - 12 Willis Street,ST ALBANS,3021,VIC,BRIMBANK CITY
Willora Kindergarten,75-77 Willora Crescent,CRANBOURNE,3977,VIC,CASEY CITY
Willow Grove Kindergarten,12 Main Road,WILLOW GROVE,3825,VIC,BAW BAW SHIRE
Wilmington Kindergarten,7-13 Wilmington Ave,HOPPERS CROSSING,3029,VIC,WYNDHAM CITY
Wilson Street Kindergarten,11 Wilson Street,BRIGHTON,3186,VIC,BAYSIDE CITY
Wilsons Road Early Learning Centre,128 Wilsons Road,NEWCOMB,3219,VIC,GREATER GEELONG CITY
Windermere Reserve Preschool, Windermere Drive,FERNTREE GULLY,3156,VIC,KNOX CITY
Wingate Avenue Childrens Co-op,13B Wingate Avenue,ASCOT VALE,3032,VIC,MOONEE VALLEY CITY
Winifred Nance Kindergarten,5 Gilmartin Street,COLAC,3250,VIC,COLAC-OTWAY SHIRE
Winston Hills Preschool,18 Rohan Street,VIEWBANK,3084,VIC,BANYULE CITY
Wirilda Kindergarten,11 Wirilda Crescent,FRANKSTON NORTH,3200,VIC,FRANKSTON CITY
Wirrigirri Preschool,2 Darebin Place,CAROLINE SPRINGS,3023,VIC,MELTON SHIRE
Woady Yaloak Kindergarten,25 Pitfield Road,SCARSDALE,3351,VIC,GOLDEN PLAINS SHIRE
Wonder Childcare,171 Military Road,AVONDALE HEIGHTS,3034,VIC,MOONEE VALLEY CITY
Wonder World Play Centre,399 - 399A  Murray Rd (via Ford Street),PRESTON,3072,VIC,DAREBIN CITY
WonderKindy Port Melbourne,5 Ingles Street,PORT MELBOURNE,3207,VIC,PORT PHILLIP CITY
Wonderland Childcare & Kinder,6 High Street,DONCASTER,3108,VIC,MANNINGHAM CITY
Wonderworld Childcare & Kindergarten,104-106 Templestowe Road,BULLEEN,3105,VIC,MANNINGHAM CITY
Wonnai Kindergarten,2 Elm Grove,LANGWARRIN,3910,VIC,FRANKSTON CITY
Wood Street Childcare Centre,272-272A Wood Street,PRESTON,3072,VIC,DAREBIN CITY
Woodbine Road Preschool,4 Woodbine Road,CRANBOURNE,3977,VIC,CASEY CITY
Woodend Care for Kids,72 East Street,WOODEND,3442,VIC,MACEDON RANGES SHIRE
Woodend Kindergarten,10 Nicholson Street,WOODEND,3442,VIC,MACEDON RANGES SHIRE
Woodhouse Grove Kindergarten,112 Woodhouse Grove,BOX HILL NORTH,3129,VIC,WHITEHORSE CITY
Woodland Education Childcare Kindergarten and School Age Services, 380 Dorset Rd,CROYDON,3136,VIC,MAROONDAH CITY
Woodland Education Jolimont, Level 3/120 Jolimont Road,JOLIMONT,3002,VIC,MELBOURNE CITY
Woodlands House Child Care,12-14 Wyatt Street,OCEAN GROVE,3226,VIC,GREATER GEELONG CITY
Woodlands Preschool,15 Wyatt Street,OCEAN GROVE,3226,VIC,GREATER GEELONG CITY
Woodridge Preschool,3 Novello Court,ELTHAM,3095,VIC,NILLUMBIK SHIRE
Woodville Park Kindergarten,80 Woodville Park Drive,HOPPERS CROSSING,3029,VIC,WYNDHAM CITY
Woomelang Preschool, Roberts Street,WOOMELANG,3485,VIC,YARRIAMBIACK SHIRE
Woori Yallock Kindergarten, Symes Road,WOORI YALLOCK,3139,VIC,YARRA RANGES SHIRE
Woorinen South Preschool, McCalman Street,WOORINEN SOUTH,3588,VIC,SWAN HILL RURAL CITY
Wycheproof Preschool Play Centre,65 High Street,WYCHEPROOF,3527,VIC,BULOKE SHIRE
Wydinia Kindergarten & Early Learning Centre,19 Dunoon Street,COLAC,3250,VIC,COLAC-OTWAY SHIRE
Wyndarra Children's Centre,52 Derrimut Road,HOPPERS CROSSING,3029,VIC,WYNDHAM CITY
Wyndham Vale Kindergarten,86 Manor Lakes Blvd,WYNDHAM VALE,3024,VIC,WYNDHAM CITY
Xavier College - Burke Hall Early Years Centre, 2 Nolan Avenue,KEW,3101,VIC,BOROONDARA CITY
Xavier College - Kostka Hall Early Years Programme,47 South Road,BRIGHTON,3186,VIC,BAYSIDE CITY
Yackandandah Kindergarten, Isaacs Avenue,YACKANDANDAH,3749,VIC,INDIGO SHIRE
Yallambie Park Pre-school,311 Yallambie Rd,YALLAMBIE,3085,VIC,BANYULE CITY
Yallourn North Kindergarten,39 Carmel Avenue,YALLOURN NORTH,3825,VIC,LATROBE CITY
Yappera Childrens Centre,2B Watt Street,THORNBURY,3071,VIC,DAREBIN CITY
Yarra Glen Child Care Centre,43 Forest Street,YARRA GLEN,3775,VIC,YARRA RANGES SHIRE
Yarra Glen Preschool, 12 Anzac Avenue,YARRA GLEN,3775,VIC,YARRA RANGES SHIRE
Yarra Park Children's Centre,27 Berry Street,EAST MELBOURNE,3002,VIC,MELBOURNE CITY
Yarra Valley Grammar School Early Learning Centre, Kalinda Road,RINGWOOD,3134,VIC,MAROONDAH CITY
Yarra Valley Preschool, 34 Hakea Street,TEMPLESTOWE,3106,VIC,MANNINGHAM CITY
Yarra Warra Preschool,184-186 Research-Warrandyte Road,WARRANDYTE NORTH,3113,VIC,NILLUMBIK SHIRE
Yarraberg Child Care & Community Centre,4 River Street,RICHMOND,3121,VIC,YARRA CITY
Yarragon Kindergarten,6 Murray Street,YARRAGON,3823,VIC,BAW BAW SHIRE
Yarralea Children's Centre,54 Yarralea Street,ALPHINGTON,3078,VIC,YARRA CITY
Yarraleen Preschool,92 Rocklea Road,BULLEEN,3105,VIC,MANNINGHAM CITY
Yarraman Centre,33 Joffre Street,NOBLE PARK,3174,VIC,GREATER DANDENONG CITY
Yarrambat / Plenty Preschool,450 Ironbark Road,YARRAMBAT,3091,VIC,NILLUMBIK SHIRE
Yarraville Community Kindergarten,2 Norfolk Street,YARRAVILLE,3013,VIC,MARIBYRNONG CITY
Yarrawonga Early Childhood Centre,Lot 17 Orr Street,YARRAWONGA,3730,VIC,MOIRA SHIRE
Yea and District Childrens Centre,23 The Semi Circle,YEA,3717,VIC,MURRINDINDI SHIRE
Yerambooee Kindergarten,55 Maple Crescent,HOPPERS CROSSING,3029,VIC,WYNDHAM CITY
Yeshivah Beth Rivkah Preschools,10-12 Balaclava Road,ST KILDA EAST,3183,VIC,GLEN EIRA CITY
Yeshivah Brighton Kindergarten,136 Marriage Road,BRIGHTON EAST,3187,VIC,BAYSIDE CITY
